franchise_key,stats_player_id,stats_player_id_norm,squad_player_name
kolkata knight riders,Finn Allen,finn allen,Finn Allen
kolkata knight riders,Rachin Ravindra,rachin ravindra,Rachin Ravindra
kolkata knight riders,Tim Seifert,tim seifert,Tim Seifert
kolkata knight riders,Matheesha Pathirana,matheesha pathirana,Matheesha Pathirana
kolkata knight riders,B Muzarabani,b muzarabani,Blessing Muzarabani
lucknow super giants,Rishabh Pant,rishabh pant,Rishabh Pant
lucknow super giants,Abdul Samad,abdul samad,Abdul Samad
lucknow super giants,Ayush Badoni,ayush badoni,Ayush Badoni
lucknow super giants,Himmat Singh,himmat singh,Himmat Singh
lucknow super giants,Akshat Raghuwanshi,akshat raghuwanshi,Akshat Raghuwanshi
lucknow super giants,Mukul Choudhary,mukul choudhary,Mukul Choudhary
lucknow super giants,Arshin Kulkarni,arshin kulkarni,Arshin Kulkarni
lucknow super giants,Shahbaz Ahmed,shahbaz ahmed,Shahbaz Ahmed
lucknow super giants,Digvesh Rathi,digvesh rathi,Digvesh Rathi
lucknow super giants,M Siddharth,m siddharth,M Siddharth
lucknow super giants,Akash Singh,akash singh,Akash Singh
lucknow super giants,Avesh Khan,avesh khan,Avesh Khan
lucknow super giants,Mohammed Shami,mohammed shami,Mohammed Shami
lucknow super giants,Mohsin Khan,mohsin khan,Mohsin Khan
lucknow super giants,Prince Yadav,prince yadav,Prince Yadav
lucknow super giants,Arjun Tendulkar,arjun tendulkar,Arjun Tendulkar
lucknow super giants,Mayank Yadav,mayank yadav,Mayank Yadav
lucknow super giants,Naman Tiwari,naman tiwari,Naman Tiwari
lucknow super giants,Matthew Breetzke,matthew breetzke,Matthew Breetzke
lucknow super giants,Aiden Markram,aiden markram,Aiden Markram
lucknow super giants,Anrich Nortje,anrich nortje,Anrich Nortje
lucknow super giants,Nicholas Pooran,nicholas pooran,Nicholas Pooran
lucknow super giants,Josh Inglis,josh inglis,Josh Inglis
lucknow super giants,Mitchell Marsh,mitchell marsh,Mitchell Marsh
lucknow super giants,Wanindu Hasaranga,wanindu hasaranga,Wanindu Hasaranga
mumbai indians,Hardik Pandya,hardik pandya,Hardik Pandya
mumbai indians,Rohit Sharma,rohit sharma,Rohit Sharma
mumbai indians,Suryakumar Yadav,suryakumar yadav,Suryakumar Yadav
mumbai indians,Danish Malewar,danish malewar,Danish Malewar
mumbai indians,Robin Minz,robin minz,Robin Minz
mumbai indians,SN Thakur,sn thakur,Shardul Thakur
mumbai indians,Naman Dhir,naman dhir,Naman Dhir
mumbai indians,Raj Bawa,raj bawa,Raj Bawa
mumbai indians,Tilak Varma,tilak varma,Tilak Varma
mumbai indians,Mayank Markande,mayank markande,Mayank Markande
mumbai indians,Raghu Sharma,raghu sharma,Raghu Sharma
mumbai indians,Ashwani Kumar,ashwani kumar,Ashwani Kumar
mumbai indians,Deepak Chahar,deepak chahar,Deepak Chahar
mumbai indians,Jasprit Bumrah,jasprit bumrah,Jasprit Bumrah
mumbai indians,Mohammed Izhar,mohammed izhar,Mohammed Izhar
mumbai indians,Mayank Rawat,mayank rawat,Mayank Rawat
mumbai indians,Will Jacks,will jacks,Will Jacks
mumbai indians,Ryan Rickelton,ryan rickelton,Ryan Rickelton
mumbai indians,Quinton de Kock,quinton de kock,Quinton de Kock
mumbai indians,Corbin Bosch,corbin bosch,Corbin Bosch
mumbai indians,Sherfane Rutherford,sherfane rutherford,Sherfane Rutherford
mumbai indians,Mitchell Santner,mitchell santner,Mitchell Santner
mumbai indians,Trent Boult,trent boult,Trent Boult
mumbai indians,AM Ghazanfar,am ghazanfar,AM Ghazanfar
punjab kings,Shreyas Iyer,shreyas iyer,Shreyas Iyer
punjab kings,Harnoor Singh,harnoor singh,Harnoor Singh
punjab kings,Nehal Wadhera,nehal wadhera,Nehal Wadhera
punjab kings,Priyansh Arya,priyansh arya,Priyansh Arya
punjab kings,Pyla Avinash,pyla avinash,Pyla Avinash
punjab kings,Prabhsimran Singh,prabhsimran singh,Prabhsimran Singh
punjab kings,Vishnu Vinod,vishnu vinod,Vishnu Vinod
punjab kings,Harpreet Brar,harpreet brar,Harpreet Brar
punjab kings,Musheer Khan,musheer khan,Musheer Khan
punjab kings,Shashank Singh,shashank singh,Shashank Singh
punjab kings,Suryansh Shedge,suryansh shedge,Suryansh Shedge
punjab kings,Praveen Dubey,praveen dubey,Praveen Dubey
punjab kings,Yuzvendra Chahal,yuzvendra chahal,Yuzvendra Chahal
punjab kings,Arshdeep Singh,arshdeep singh,Arshdeep Singh
punjab kings,Vijaykumar Vyshak,vijaykumar vyshak,Vijaykumar Vyshak
punjab kings,Vishal Nishad,vishal nishad,Vishal Nishad
punjab kings,Yash Thakur,yash thakur,Yash Thakur
punjab kings,Azmatullah Omarzai,azmatullah omarzai,Azmatullah Omarzai
punjab kings,Ben Dwarshuis,ben dwarshuis,Ben Dwarshuis
punjab kings,Cooper Connolly,cooper connolly,Cooper Connolly
punjab kings,Marcus Stoinis,marcus stoinis,Marcus Stoinis
punjab kings,Mitchell Owen,mitchell owen,Mitchell Owen
punjab kings,Xavier Bartlett,xavier bartlett,Xavier Bartlett
punjab kings,Marco Jansen,marco jansen,Marco Jansen
punjab kings,Lockie Ferguson,lockie ferguson,Lockie Ferguson
rajasthan royals,Riyan Parag,riyan parag,Riyan Parag
rajasthan royals,Shubham Dubey,shubham dubey,Shubham Dubey
rajasthan royals,Vaibhav Suryavanshi,vaibhav suryavanshi,Vaibhav Suryavanshi
rajasthan royals,Yashasvi Jaiswal,yashasvi jaiswal,Yashasvi Jaiswal
rajasthan royals,Aman Rao,aman rao,Aman Rao
rajasthan royals,Dhruv Jurel,dhruv jurel,Dhruv Jurel
rajasthan royals,Ravi Singh,ravi singh,Ravi Singh
rajasthan royals,Ravindra Jadeja,ravindra jadeja,Ravindra Jadeja
rajasthan royals,Yudhvir Singh,yudhvir singh,Yudhvir Singh
rajasthan royals,Ravi Bishnoi,ravi bishnoi,Ravi Bishnoi
rajasthan royals,Yash Raj Punja,yash raj punja,Yash Raj Punja
rajasthan royals,Vignesh Puthur,vignesh puthur,Vignesh Puthur
rajasthan royals,Sandeep Sharma,sandeep sharma,Sandeep Sharma
rajasthan royals,Tushar Deshpande,tushar deshpande,Tushar Deshpande
rajasthan royals,Sushant Mishra,sushant mishra,Sushant Mishra
rajasthan royals,Kuldeep Sen,kuldeep sen,Kuldeep Sen
rajasthan royals,Brijesh Sharma,brijesh sharma,Brijesh Sharma
rajasthan royals,Jofra Archer,jofra archer,Jofra Archer
rajasthan royals,Lhuan-dre Pretorius,lhuan-dre pretorius,Lhuan-dre Pretorius
rajasthan royals,Donovan Ferreira,donovan ferreira,Donovan Ferreira
rajasthan royals,Kwena Maphaka,kwena maphaka,Kwena Maphaka
rajasthan royals,Nandre Burger,nandre burger,Nandre Burger
rajasthan royals,Adam Milne,adam milne,Adam Milne
rajasthan royals,Shimron Hetmyer,shimron hetmyer,Shimron Hetmyer
rajasthan royals,Dasun Shanaka,dasun shanaka,Dasun Shanaka
royal challengers bengaluru,RM Patidar,rm patidar,Rajat Patidar
royal challengers bengaluru,V Kohli,v kohli,Virat Kohli
royal challengers bengaluru,Devdutt Padikkal,devdutt padikkal,Devdutt Padikkal
royal challengers bengaluru,JM Sharma,jm sharma,Jitesh Sharma
royal challengers bengaluru,Venkatesh Iyer,venkatesh iyer,Venkatesh Iyer
royal challengers bengaluru,KH Pandya,kh pandya,Krunal Pandya
royal challengers bengaluru,Swapnil Singh,swapnil singh,Swapnil Singh
royal challengers bengaluru,Satwik Deswal,satwik deswal,Satwik Deswal
royal challengers bengaluru,Kanish Chouhan,kanish chouhan,Kanish Chouhan
royal challengers bengaluru,Vihaan Malhotra,vihaan malhotra,Vihaan Malhotra
royal challengers bengaluru,Vicky Ostwal,vicky ostwal,Vicky Ostwal
royal challengers bengaluru,Suyash Sharma,suyash sharma,Suyash Sharma
royal challengers bengaluru,B Kumar,b kumar,Bhuvneshwar Kumar
royal challengers bengaluru,Rasikh Salam,rasikh salam,Rasikh Salam
royal challengers bengaluru,Mangesh Yadav,mangesh yadav,Mangesh Yadav
royal challengers bengaluru,Abhinandan Singh,abhinandan singh,Abhinandan Singh
royal challengers bengaluru,Jacob Bethell,jacob bethell,Jacob Bethell
royal challengers bengaluru,PD Salt,pd salt,Phil Salt
royal challengers bengaluru,Jordan Cox,jordan cox,Jordan Cox
royal challengers bengaluru,JR Hazlewood,jr hazlewood,Josh Hazlewood
royal challengers bengaluru,TH David,th david,Tim David
royal challengers bengaluru,R Shepherd,r shepherd,Romario Shepherd
royal challengers bengaluru,Jacob Duffy,jacob duffy,Jacob Duffy
royal challengers bengaluru,Nuwan Thushara,nuwan thushara,Nuwan Thushara
sunrisers hyderabad,Pat Cummins,pat cummins,Pat Cummins
sunrisers hyderabad,Ishan Kishan,ishan kishan,Ishan Kishan
sunrisers hyderabad,Aniket Verma,aniket verma,Aniket Verma
sunrisers hyderabad,R Smaran,r smaran,R Smaran
sunrisers hyderabad,Salil Arora,salil arora,Salil Arora
sunrisers hyderabad,Abhishek Sharma,abhishek sharma,Abhishek Sharma
sunrisers hyderabad,Nithish Kumar Reddy,nithish kumar reddy,Nitish Kumar Reddy
sunrisers hyderabad,HV Patel,hv patel,Harshal Patel
sunrisers hyderabad,Harsh Dubey,harsh dubey,Harsh Dubey
sunrisers hyderabad,Shivang Kumar,shivang kumar,Shivang Kumar
sunrisers hyderabad,Krains Fuletra,krains fuletra,Krains Fuletra
sunrisers hyderabad,Zeeshan Ansari,zeeshan ansari,Zeeshan Ansari
sunrisers hyderabad,Amit Kumar,amit kumar,Amit Kumar
sunrisers hyderabad,JD Unadkat,jd unadkat,Jaydev Unadkat
sunrisers hyderabad,Shivam Mavi,shivam mavi,Shivam Mavi
sunrisers hyderabad,Onkar Tarmale,onkar tarmale,Onkar Tarmale
sunrisers hyderabad,Sakib Hussain,sakib hussain,Sakib Hussain
sunrisers hyderabad,Praful Hinge,praful hinge,Praful Hinge
sunrisers hyderabad,Liam Livingstone,liam livingstone,Liam Livingstone
sunrisers hyderabad,Brydon Carse,brydon carse,Brydon Carse
sunrisers hyderabad,David Payne,david payne,David Payne
sunrisers hyderabad,TM Head,tm head,Travis Head
sunrisers hyderabad,H Klaasen,h klaasen,Heinrich Klaasen
sunrisers hyderabad,Kamindu Mendis,kamindu mendis,Kamindu Mendis
sunrisers hyderabad,E Malinga,e malinga,Eshan Malinga
