venue,umpire2,winner_runs,date,method,reserve_umpire,winner,city,balls_per_over,outcome,match_number,match_referee,team1,eliminator,date1,gender,team2,winner_wickets,toss_winner,toss_decision,date2,tv_umpire,season,umpire1,event,neutralvenue,player_of_match,matchId
Sheikh Zayed Stadium,VK Sharma,,2020-09-19,,UV Gandhe,Chennai Super Kings,Abu Dhabi,6,,1.0,M Nayyar,Mumbai Indians,,,male,Chennai Super Kings,5.0,Chennai Super Kings,field,,S Ravi,2020/21,CB Gaffaney,Indian Premier League,,AT Rayudu,1216492
Dubai International Cricket Stadium,Nitin Menon,,2020-09-20,,YC Barde,,,6,tie,2.0,J Srinath,Delhi Capitals,Delhi Capitals,,male,Kings XI Punjab,,Kings XI Punjab,field,,PR Reiffel,2020/21,AK Chaudhary,Indian Premier League,,MP Stoinis,1216493
Dubai International Cricket Stadium,Nitin Menon,10.0,2020-09-21,,YC Barde,Royal Challengers Bangalore,,6,,3.0,Prakash Bhatt,Royal Challengers Bangalore,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,AK Chaudhary,2020/21,AY Dandekar,Indian Premier League,,YS Chahal,1216534
Sharjah Cricket Stadium,VA Kulkarni,16.0,2020-09-22,,K Srinivasan,Rajasthan Royals,,6,,4.0,V Narayan Kutty,Rajasthan Royals,,,male,Chennai Super Kings,,Chennai Super Kings,field,,KN Ananthapadmanabhan,2020/21,C Shamshuddin,Indian Premier League,,SV Samson,1216496
Sheikh Zayed Stadium,S Ravi,49.0,2020-09-23,,PG Pathak,Mumbai Indians,Abu Dhabi,6,,5.0,M Nayyar,Mumbai Indians,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,VK Sharma,2020/21,CB Gaffaney,Indian Premier League,,RG Sharma,1216508
Dubai International Cricket Stadium,PR Reiffel,97.0,2020-09-24,,AY Dandekar,Kings XI Punjab,,6,,6.0,J Srinath,Kings XI Punjab,,,male,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,,Nitin Menon,2020/21,AK Chaudhary,Indian Premier League,,KL Rahul,1216510
Dubai International Cricket Stadium,RK Illingworth,44.0,2020-09-25,,VA Kulkarni,Delhi Capitals,,6,,7.0,V Narayan Kutty,Delhi Capitals,,,male,Chennai Super Kings,,Chennai Super Kings,field,,K Srinivasan,2020/21,KN Ananthapadmanabhan,Indian Premier League,,PP Shaw,1216539
Sheikh Zayed Stadium,VK Sharma,,2020-09-26,,UV Gandhe,Kolkata Knight Riders,Abu Dhabi,6,,8.0,Shakti Singh,Sunrisers Hyderabad,,,male,Kolkata Knight Riders,7.0,Sunrisers Hyderabad,bat,,S Ravi,2020/21,CB Gaffaney,Indian Premier League,,Shubman Gill,1216545
Sharjah Cricket Stadium,K Srinivasan,,2020-09-27,,VA Kulkarni,Rajasthan Royals,,6,,9.0,V Narayan Kutty,Kings XI Punjab,,,male,Rajasthan Royals,4.0,Rajasthan Royals,field,,C Shamshuddin,2020/21,RK Illingworth,Indian Premier League,,SV Samson,1216527
Dubai International Cricket Stadium,PR Reiffel,,2020-09-28,,YC Barde,,,6,tie,10.0,J Srinath,Royal Challengers Bangalore,Royal Challengers Bangalore,,male,Mumbai Indians,,Mumbai Indians,field,,AK Chaudhary,2020/21,Nitin Menon,Indian Premier League,,AB de Villiers,1216547
Sheikh Zayed Stadium,S Ravi,15.0,2020-09-29,,PG Pathak,Sunrisers Hyderabad,Abu Dhabi,6,,11.0,M Nayyar,Sunrisers Hyderabad,,,male,Delhi Capitals,,Delhi Capitals,field,,CB Gaffaney,2020/21,VK Sharma,Indian Premier League,,Rashid Khan,1216532
Dubai International Cricket Stadium,C Shamshuddin,37.0,2020-09-30,,K Srinivasan,Kolkata Knight Riders,,6,,12.0,V Narayan Kutty,Kolkata Knight Riders,,,male,Rajasthan Royals,,Rajasthan Royals,field,,VA Kulkarni,2020/21,KN Ananthapadmanabhan,Indian Premier League,,Shivam Mavi,1216504
Sheikh Zayed Stadium,S Ravi,48.0,2020-10-01,,PG Pathak,Mumbai Indians,Abu Dhabi,6,,13.0,M Nayyar,Mumbai Indians,,,male,Kings XI Punjab,,Kings XI Punjab,field,,UV Gandhe,2020/21,VK Sharma,Indian Premier League,,KA Pollard,1216503
Dubai International Cricket Stadium,PR Reiffel,7.0,2020-10-02,,AY Dandekar,Sunrisers Hyderabad,,6,,14.0,Prakash Bhatt,Sunrisers Hyderabad,,,male,Chennai Super Kings,,Sunrisers Hyderabad,bat,,YC Barde,2020/21,AK Chaudhary,Indian Premier League,,PK Garg,1216516
Sharjah Cricket Stadium,RK Illingworth,18.0,2020-10-03,,K Srinivasan,Delhi Capitals,,6,,16.0,V Narayan Kutty,Delhi Capitals,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,KN Ananthapadmanabhan,2020/21,VA Kulkarni,Indian Premier League,,SS Iyer,1216515
Sheikh Zayed Stadium,S Ravi,,2020-10-03,,UV Gandhe,Royal Challengers Bangalore,Abu Dhabi,6,,15.0,M Nayyar,Rajasthan Royals,,,male,Royal Challengers Bangalore,8.0,Rajasthan Royals,bat,,PG Pathak,2020/21,CB Gaffaney,Indian Premier League,,YS Chahal,1216514
Sharjah Cricket Stadium,RK Illingworth,34.0,2020-10-04,,VA Kulkarni,Mumbai Indians,,6,,17.0,V Narayan Kutty,Mumbai Indians,,,male,Sunrisers Hyderabad,,Mumbai Indians,bat,,K Srinivasan,2020/21,KN Ananthapadmanabhan,Indian Premier League,,TA Boult,1216538
Dubai International Cricket Stadium,Nitin Menon,,2020-10-04,,YC Barde,Chennai Super Kings,,6,,18.0,J Srinath,Kings XI Punjab,,,male,Chennai Super Kings,10.0,Kings XI Punjab,bat,,PR Reiffel,2020/21,AY Dandekar,Indian Premier League,,SR Watson,1216513
Dubai International Cricket Stadium,YC Barde,59.0,2020-10-05,,AY Dandekar,Delhi Capitals,,6,,19.0,Prakash Bhatt,Delhi Capitals,,,male,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,,PR Reiffel,2020/21,Nitin Menon,Indian Premier League,,AR Patel,1216519
Sheikh Zayed Stadium,S Ravi,57.0,2020-10-06,,UV Gandhe,Mumbai Indians,Abu Dhabi,6,,20.0,Shakti Singh,Mumbai Indians,,,male,Rajasthan Royals,,Mumbai Indians,bat,,CB Gaffaney,2020/21,VK Sharma,Indian Premier League,,SA Yadav,1216511
Sheikh Zayed Stadium,RK Illingworth,10.0,2020-10-07,,K Srinivasan,Kolkata Knight Riders,Abu Dhabi,6,,21.0,V Narayan Kutty,Kolkata Knight Riders,,,male,Chennai Super Kings,,Kolkata Knight Riders,bat,,C Shamshuddin,2020/21,KN Ananthapadmanabhan,Indian Premier League,,RA Tripathi,1216501
Dubai International Cricket Stadium,Nitin Menon,69.0,2020-10-08,,AY Dandekar,Sunrisers Hyderabad,,6,,22.0,J Srinath,Sunrisers Hyderabad,,,male,Kings XI Punjab,,Sunrisers Hyderabad,bat,,YC Barde,2020/21,AK Chaudhary,Indian Premier League,,JM Bairstow,1216542
Sharjah Cricket Stadium,C Shamshuddin,46.0,2020-10-09,,K Srinivasan,Delhi Capitals,,6,,23.0,V Narayan Kutty,Delhi Capitals,,,male,Rajasthan Royals,,Rajasthan Royals,field,,VA Kulkarni,2020/21,KN Ananthapadmanabhan,Indian Premier League,,R Ashwin,1216500
Sheikh Zayed Stadium,CB Gaffaney,2.0,2020-10-10,,PG Pathak,Kolkata Knight Riders,Abu Dhabi,6,,24.0,M Nayyar,Kolkata Knight Riders,,,male,Kings XI Punjab,,Kolkata Knight Riders,bat,,VK Sharma,2020/21,UV Gandhe,Indian Premier League,,KD Karthik,1216523
Dubai International Cricket Stadium,PR Reiffel,37.0,2020-10-10,,YC Barde,Royal Challengers Bangalore,,6,,25.0,J Srinath,Royal Challengers Bangalore,,,male,Chennai Super Kings,,Royal Challengers Bangalore,bat,,AY Dandekar,2020/21,AK Chaudhary,Indian Premier League,,V Kohli,1216525
Sheikh Zayed Stadium,S Ravi,,2020-10-11,,UV Gandhe,Mumbai Indians,Abu Dhabi,6,,27.0,Shakti Singh,Delhi Capitals,,,male,Mumbai Indians,5.0,Delhi Capitals,bat,,VK Sharma,2020/21,CB Gaffaney,Indian Premier League,,Q de Kock,1216529
Dubai International Cricket Stadium,PR Reiffel,,2020-10-11,,AY Dandekar,Rajasthan Royals,,6,,26.0,Prakash Bhatt,Sunrisers Hyderabad,,,male,Rajasthan Royals,5.0,Sunrisers Hyderabad,bat,,Nitin Menon,2020/21,YC Barde,Indian Premier League,,R Tewatia,1216507
Sharjah Cricket Stadium,K Srinivasan,82.0,2020-10-12,,VA Kulkarni,Royal Challengers Bangalore,,6,,28.0,V Narayan Kutty,Royal Challengers Bangalore,,,male,Kolkata Knight Riders,,Royal Challengers Bangalore,bat,,KN Ananthapadmanabhan,2020/21,RK Illingworth,Indian Premier League,,AB de Villiers,1216540
Dubai International Cricket Stadium,PR Reiffel,20.0,2020-10-13,,YC Barde,Chennai Super Kings,,6,,29.0,J Srinath,Chennai Super Kings,,,male,Sunrisers Hyderabad,,Chennai Super Kings,bat,,Nitin Menon,2020/21,AK Chaudhary,Indian Premier League,,RA Jadeja,1216528
Dubai International Cricket Stadium,Nitin Menon,13.0,2020-10-14,,YC Barde,Delhi Capitals,,6,,30.0,J Srinath,Delhi Capitals,,,male,Rajasthan Royals,,Delhi Capitals,bat,,AY Dandekar,2020/21,AK Chaudhary,Indian Premier League,,A Nortje,1216543
Sharjah Cricket Stadium,C Shamshuddin,,2020-10-15,,K Srinivasan,Kings XI Punjab,,6,,31.0,V Narayan Kutty,Royal Challengers Bangalore,,,male,Kings XI Punjab,8.0,Royal Challengers Bangalore,bat,,RK Illingworth,2020/21,KN Ananthapadmanabhan,Indian Premier League,,KL Rahul,1216531
Sheikh Zayed Stadium,VK Sharma,,2020-10-16,,PG Pathak,Mumbai Indians,Abu Dhabi,6,,32.0,M Nayyar,Kolkata Knight Riders,,,male,Mumbai Indians,8.0,Kolkata Knight Riders,bat,,S Ravi,2020/21,CB Gaffaney,Indian Premier League,,Q de Kock,1216526
Dubai International Cricket Stadium,Nitin Menon,,2020-10-17,,YC Barde,Royal Challengers Bangalore,,6,,33.0,J Srinath,Rajasthan Royals,,,male,Royal Challengers Bangalore,7.0,Rajasthan Royals,bat,,PR Reiffel,2020/21,AK Chaudhary,Indian Premier League,,AB de Villiers,1216522
Sharjah Cricket Stadium,RK Illingworth,,2020-10-17,,VA Kulkarni,Delhi Capitals,,6,,34.0,V Narayan Kutty,Chennai Super Kings,,,male,Delhi Capitals,5.0,Chennai Super Kings,bat,,C Shamshuddin,2020/21,KN Ananthapadmanabhan,Indian Premier League,,S Dhawan,1216509
Dubai International Cricket Stadium,PR Reiffel,,2020-10-18,,AY Dandekar,,,6,tie,36.0,J Srinath,Mumbai Indians,Kings XI Punjab,,male,Kings XI Punjab,,Mumbai Indians,bat,,AK Chaudhary,2020/21,Nitin Menon,Indian Premier League,,KL Rahul,1216517
Sheikh Zayed Stadium,S Ravi,,2020-10-18,,UV Gandhe,,Abu Dhabi,6,tie,35.0,M Nayyar,Kolkata Knight Riders,Kolkata Knight Riders,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,VK Sharma,2020/21,PG Pathak,Indian Premier League,,LH Ferguson,1216512
Sheikh Zayed Stadium,VK Sharma,,2020-10-19,,PG Pathak,Rajasthan Royals,Abu Dhabi,6,,37.0,M Nayyar,Chennai Super Kings,,,male,Rajasthan Royals,7.0,Chennai Super Kings,bat,,UV Gandhe,2020/21,CB Gaffaney,Indian Premier League,,JC Buttler,1216533
Dubai International Cricket Stadium,RK Illingworth,,2020-10-20,,K Srinivasan,Kings XI Punjab,,6,,38.0,Prakash Bhatt,Delhi Capitals,,,male,Kings XI Punjab,5.0,Delhi Capitals,bat,,KN Ananthapadmanabhan,2020/21,C Shamshuddin,Indian Premier League,,S Dhawan,1216546
Sheikh Zayed Stadium,S Ravi,,2020-10-21,,UV Gandhe,Royal Challengers Bangalore,Abu Dhabi,6,,39.0,Shakti Singh,Kolkata Knight Riders,,,male,Royal Challengers Bangalore,8.0,Kolkata Knight Riders,bat,,CB Gaffaney,2020/21,VK Sharma,Indian Premier League,,Mohammed Siraj,1216494
Dubai International Cricket Stadium,PR Reiffel,,2020-10-22,,AY Dandekar,Sunrisers Hyderabad,,6,,40.0,J Srinath,Rajasthan Royals,,,male,Sunrisers Hyderabad,8.0,Sunrisers Hyderabad,field,,AK Chaudhary,2020/21,Nitin Menon,Indian Premier League,,MK Pandey,1216518
Sharjah Cricket Stadium,VA Kulkarni,,2020-10-23,,K Srinivasan,Mumbai Indians,,6,,41.0,V Narayan Kutty,Chennai Super Kings,,,male,Mumbai Indians,10.0,Mumbai Indians,field,,RK Illingworth,2020/21,C Shamshuddin,Indian Premier League,,TA Boult,1216521
Dubai International Cricket Stadium,PR Reiffel,12.0,2020-10-24,,YC Barde,Kings XI Punjab,,6,,43.0,J Srinath,Kings XI Punjab,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,Nitin Menon,2020/21,AY Dandekar,Indian Premier League,,CJ Jordan,1216498
Sheikh Zayed Stadium,PG Pathak,59.0,2020-10-24,,UV Gandhe,Kolkata Knight Riders,Abu Dhabi,6,,42.0,M Nayyar,Kolkata Knight Riders,,,male,Delhi Capitals,,Delhi Capitals,field,,S Ravi,2020/21,CB Gaffaney,Indian Premier League,,CV Varun,1216497
Dubai International Cricket Stadium,RK Illingworth,,2020-10-25,,VA Kulkarni,Chennai Super Kings,,6,,44.0,Prakash Bhatt,Royal Challengers Bangalore,,,male,Chennai Super Kings,8.0,Royal Challengers Bangalore,bat,,KN Ananthapadmanabhan,2020/21,C Shamshuddin,Indian Premier League,,RD Gaikwad,1216544
Sheikh Zayed Stadium,VK Sharma,,2020-10-25,,PG Pathak,Rajasthan Royals,Abu Dhabi,6,,45.0,Shakti Singh,Mumbai Indians,,,male,Rajasthan Royals,8.0,Mumbai Indians,bat,,S Ravi,2020/21,UV Gandhe,Indian Premier League,,BA Stokes,1216541
Sharjah Cricket Stadium,RK Illingworth,,2020-10-26,,VA Kulkarni,Kings XI Punjab,,6,,46.0,V Narayan Kutty,Kolkata Knight Riders,,,male,Kings XI Punjab,8.0,Kings XI Punjab,field,,K Srinivasan,2020/21,KN Ananthapadmanabhan,Indian Premier League,,CH Gayle,1216520
Dubai International Cricket Stadium,Nitin Menon,88.0,2020-10-27,,AY Dandekar,Sunrisers Hyderabad,,6,,47.0,J Srinath,Sunrisers Hyderabad,,,male,Delhi Capitals,,Delhi Capitals,field,,PR Reiffel,2020/21,AK Chaudhary,Indian Premier League,,WP Saha,1216524
Sheikh Zayed Stadium,CB Gaffaney,,2020-10-28,,PG Pathak,Mumbai Indians,Abu Dhabi,6,,48.0,M Nayyar,Royal Challengers Bangalore,,,male,Mumbai Indians,5.0,Mumbai Indians,field,,S Ravi,2020/21,UV Gandhe,Indian Premier League,,SA Yadav,1216499
Dubai International Cricket Stadium,RK Illingworth,,2020-10-29,,K Srinivasan,Chennai Super Kings,,6,,49.0,Prakash Bhatt,Kolkata Knight Riders,,,male,Chennai Super Kings,6.0,Chennai Super Kings,field,,KN Ananthapadmanabhan,2020/21,C Shamshuddin,Indian Premier League,,RD Gaikwad,1216536
Sheikh Zayed Stadium,S Ravi,,2020-10-30,,UV Gandhe,Rajasthan Royals,Abu Dhabi,6,,50.0,M Nayyar,Kings XI Punjab,,,male,Rajasthan Royals,7.0,Rajasthan Royals,field,,PG Pathak,2020/21,CB Gaffaney,Indian Premier League,,BA Stokes,1216537
Sharjah Cricket Stadium,K Srinivasan,,2020-10-31,,VA Kulkarni,Sunrisers Hyderabad,,6,,52.0,V Narayan Kutty,Royal Challengers Bangalore,,,male,Sunrisers Hyderabad,5.0,Sunrisers Hyderabad,field,,C Shamshuddin,2020/21,KN Ananthapadmanabhan,Indian Premier League,,Sandeep Sharma,1216502
Dubai International Cricket Stadium,PR Reiffel,,2020-10-31,,AY Dandekar,Mumbai Indians,,6,,51.0,J Srinath,Delhi Capitals,,,male,Mumbai Indians,9.0,Mumbai Indians,field,,AK Chaudhary,2020/21,YC Barde,Indian Premier League,,Ishan Kishan,1216535
Dubai International Cricket Stadium,PR Reiffel,60.0,2020-11-01,,YC Barde,Kolkata Knight Riders,,6,,54.0,Shakti Singh,Kolkata Knight Riders,,,male,Rajasthan Royals,,Rajasthan Royals,field,,AK Chaudhary,2020/21,Nitin Menon,Indian Premier League,,PJ Cummins,1216530
Sheikh Zayed Stadium,VK Sharma,,2020-11-01,,UV Gandhe,Chennai Super Kings,Abu Dhabi,6,,53.0,M Nayyar,Kings XI Punjab,,,male,Chennai Super Kings,9.0,Chennai Super Kings,field,,CB Gaffaney,2020/21,PG Pathak,Indian Premier League,,RD Gaikwad,1216506
Sheikh Zayed Stadium,S Ravi,,2020-11-02,,PG Pathak,Delhi Capitals,Abu Dhabi,6,,55.0,M Nayyar,Royal Challengers Bangalore,,,male,Delhi Capitals,6.0,Delhi Capitals,field,,VK Sharma,2020/21,CB Gaffaney,Indian Premier League,,A Nortje,1216505
Sharjah Cricket Stadium,RK Illingworth,,2020-11-03,,VA Kulkarni,Sunrisers Hyderabad,,6,,56.0,Prakash Bhatt,Mumbai Indians,,,male,Sunrisers Hyderabad,10.0,Sunrisers Hyderabad,field,,KN Ananthapadmanabhan,2020/21,C Shamshuddin,Indian Premier League,,S Nadeem,1216495
Dubai International Cricket Stadium,Nitin Menon,57.0,2020-11-05,,AK Chaudhary,Mumbai Indians,,6,,,J Srinath,Mumbai Indians,,,male,Delhi Capitals,,Delhi Capitals,field,,KN Ananthapadmanabhan,2020/21,CB Gaffaney,Indian Premier League,,JJ Bumrah,1237177
Sheikh Zayed Stadium,S Ravi,,2020-11-06,,C Shamshuddin,Sunrisers Hyderabad,Abu Dhabi,6,,,M Nayyar,Royal Challengers Bangalore,,,male,Sunrisers Hyderabad,6.0,Sunrisers Hyderabad,field,,VK Sharma,2020/21,PR Reiffel,Indian Premier League,,KS Williamson,1237178
Sheikh Zayed Stadium,S Ravi,17.0,2020-11-08,,VK Sharma,Delhi Capitals,Abu Dhabi,6,,,M Nayyar,Delhi Capitals,,,male,Sunrisers Hyderabad,,Delhi Capitals,bat,,C Shamshuddin,2020/21,PR Reiffel,Indian Premier League,,MP Stoinis,1237180
Dubai International Cricket Stadium,Nitin Menon,,2020-11-10,,KN Ananthapadmanabhan,Mumbai Indians,,6,,,J Srinath,Delhi Capitals,,,male,Mumbai Indians,5.0,Delhi Capitals,bat,,AK Chaudhary,2020/21,CB Gaffaney,Indian Premier League,,TA Boult,1237181
"MA Chidambaram Stadium, Chepauk, Chennai",Nitin Menon,,2021-04-09,,UV Gandhe,Royal Challengers Bangalore,Chennai,6,,1.0,V Narayan Kutty,Mumbai Indians,,,male,Royal Challengers Bangalore,2.0,Royal Challengers Bangalore,field,,C Shamshuddin,2021,KN Ananthapadmanabhan,Indian Premier League,,HV Patel,1254058
"Wankhede Stadium, Mumbai",VK Sharma,,2021-04-10,,AY Dandekar,Delhi Capitals,Mumbai,6,,2.0,M Nayyar,Chennai Super Kings,,,male,Delhi Capitals,7.0,Delhi Capitals,field,,S Ravi,2021,AK Chaudhary,Indian Premier League,,S Dhawan,1254059
"MA Chidambaram Stadium, Chepauk, Chennai",Nitin Menon,10.0,2021-04-11,,HAS Khalid,Kolkata Knight Riders,Chennai,6,,3.0,V Narayan Kutty,Kolkata Knight Riders,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,CB Gaffaney,2021,KN Ananthapadmanabhan,Indian Premier League,,N Rana,1254060
"Wankhede Stadium, Mumbai",S Ravi,4.0,2021-04-12,,YC Barde,Punjab Kings,Mumbai,6,,4.0,M Nayyar,Punjab Kings,,,male,Rajasthan Royals,,Rajasthan Royals,field,,VK Sharma,2021,AK Chaudhary,Indian Premier League,,SV Samson,1254061
"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,10.0,2021-04-13,,HAS Khalid,Mumbai Indians,Chennai,6,,5.0,S Chaturvedi,Mumbai Indians,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,KN Ananthapadmanabhan,2021,C Shamshuddin,Indian Premier League,,RD Chahar,1254062
"MA Chidambaram Stadium, Chepauk, Chennai",UV Gandhe,6.0,2021-04-14,,Tapan Sharma,Royal Challengers Bangalore,Chennai,6,,6.0,V Narayan Kutty,Royal Challengers Bangalore,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,C Shamshuddin,2021,Nitin Menon,Indian Premier League,,GJ Maxwell,1254063
"Wankhede Stadium, Mumbai",VK Sharma,,2021-04-15,,J Madanagopal,Rajasthan Royals,Mumbai,6,,7.0,Shakti Singh,Delhi Capitals,,,male,Rajasthan Royals,3.0,Rajasthan Royals,field,,AK Chaudhary,2021,S Ravi,Indian Premier League,,JD Unadkat,1254064
"Wankhede Stadium, Mumbai",AY Dandekar,,2021-04-16,,Navdeep Singh,Chennai Super Kings,Mumbai,6,,8.0,Prakash Bhatt,Punjab Kings,,,male,Chennai Super Kings,6.0,Chennai Super Kings,field,,VK Sharma,2021,AK Chaudhary,Indian Premier League,,DL Chahar,1254065
"MA Chidambaram Stadium, Chepauk, Chennai",K Srinivasan,13.0,2021-04-17,,Tapan Sharma,Mumbai Indians,Chennai,6,,9.0,S Chaturvedi,Mumbai Indians,,,male,Sunrisers Hyderabad,,Mumbai Indians,bat,,KN Ananthapadmanabhan,2021,CB Gaffaney,Indian Premier League,,KA Pollard,1254066
"Wankhede Stadium, Mumbai",PR Reiffel,,2021-04-18,,J Madanagopal,Delhi Capitals,Mumbai,6,,11.0,M Nayyar,Punjab Kings,,,male,Delhi Capitals,6.0,Delhi Capitals,field,,S Ravi,2021,AK Chaudhary,Indian Premier League,,S Dhawan,1254068
"MA Chidambaram Stadium, Chepauk, Chennai",Nitin Menon,38.0,2021-04-18,,K Srinivasan,Royal Challengers Bangalore,Chennai,6,,10.0,V Narayan Kutty,Royal Challengers Bangalore,,,male,Kolkata Knight Riders,,Royal Challengers Bangalore,bat,,CB Gaffaney,2021,C Shamshuddin,Indian Premier League,,AB de Villiers,1254067
"Wankhede Stadium, Mumbai",VK Sharma,45.0,2021-04-19,,Navdeep Singh,Chennai Super Kings,Mumbai,6,,12.0,Prakash Bhatt,Chennai Super Kings,,,male,Rajasthan Royals,,Rajasthan Royals,field,,YC Barde,2021,PR Reiffel,Indian Premier League,,MM Ali,1254069
"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,,2021-04-20,,Tapan Sharma,Delhi Capitals,Chennai,6,,13.0,V Narayan Kutty,Mumbai Indians,,,male,Delhi Capitals,6.0,Mumbai Indians,bat,,UV Gandhe,2021,C Shamshuddin,Indian Premier League,,A Mishra,1254070
"MA Chidambaram Stadium, Chepauk, Chennai",Nitin Menon,,2021-04-21,,HAS Khalid,Sunrisers Hyderabad,Chennai,6,,14.0,S Chaturvedi,Punjab Kings,,,male,Sunrisers Hyderabad,9.0,Punjab Kings,bat,,KN Ananthapadmanabhan,2021,K Srinivasan,Indian Premier League,,JM Bairstow,1254071
"Wankhede Stadium, Mumbai",PR Reiffel,18.0,2021-04-21,,YC Barde,Chennai Super Kings,Mumbai,6,,15.0,Shakti Singh,Chennai Super Kings,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,AK Chaudhary,2021,AY Dandekar,Indian Premier League,,F du Plessis,1254072
"Wankhede Stadium, Mumbai",S Ravi,,2021-04-22,,AY Dandekar,Royal Challengers Bangalore,Mumbai,6,,16.0,Shakti Singh,Rajasthan Royals,,,male,Royal Challengers Bangalore,10.0,Royal Challengers Bangalore,field,,VK Sharma,2021,J Madanagopal,Indian Premier League,,D Padikkal,1254073
"MA Chidambaram Stadium, Chepauk, Chennai",Nitin Menon,,2021-04-23,,UV Gandhe,Punjab Kings,Chennai,6,,17.0,V Narayan Kutty,Mumbai Indians,,,male,Punjab Kings,9.0,Punjab Kings,field,,HAS Khalid,2021,C Shamshuddin,Indian Premier League,,KL Rahul,1254074
"Wankhede Stadium, Mumbai",S Ravi,,2021-04-24,,YC Barde,Rajasthan Royals,Mumbai,6,,18.0,M Nayyar,Kolkata Knight Riders,,,male,Rajasthan Royals,6.0,Rajasthan Royals,field,,PR Reiffel,2021,Navdeep Singh,Indian Premier League,,CH Morris,1254075
"MA Chidambaram Stadium, Chepauk, Chennai",KN Ananthapadmanabhan,,2021-04-25,,K Srinivasan,,Chennai,6,tie,20.0,S Chaturvedi,Delhi Capitals,Delhi Capitals,,male,Sunrisers Hyderabad,,Delhi Capitals,bat,,Tapan Sharma,2021,CB Gaffaney,Indian Premier League,,PP Shaw,1254077
"Wankhede Stadium, Mumbai",VK Sharma,69.0,2021-04-25,,J Madanagopal,Chennai Super Kings,Mumbai,6,,19.0,Shakti Singh,Chennai Super Kings,,,male,Royal Challengers Bangalore,,Chennai Super Kings,bat,,Navdeep Singh,2021,AK Chaudhary,Indian Premier League,,RA Jadeja,1254076
"Narendra Modi Stadium, Ahmedabad",YC Barde,,2021-04-26,,AY Dandekar,Kolkata Knight Riders,Ahmedabad,6,,21.0,Prakash Bhatt,Punjab Kings,,,male,Kolkata Knight Riders,5.0,Kolkata Knight Riders,field,,S Ravi,2021,PR Reiffel,Indian Premier League,,EJG Morgan,1254078
"Narendra Modi Stadium, Ahmedabad",VK Sharma,1.0,2021-04-27,,J Madanagopal,Royal Challengers Bangalore,Ahmedabad,6,,22.0,M Nayyar,Royal Challengers Bangalore,,,male,Delhi Capitals,,Delhi Capitals,field,,AK Chaudhary,2021,S Ravi,Indian Premier League,,AB de Villiers,1254079
"Arun Jaitley Stadium, Delhi",CK Nandan,,2021-04-28,,UV Gandhe,Chennai Super Kings,Delhi,6,,23.0,J Srinath,Sunrisers Hyderabad,,,male,Chennai Super Kings,7.0,Sunrisers Hyderabad,bat,,KN Ananthapadmanabhan,2021,C Shamshuddin,Indian Premier League,,RD Gaikwad,1254080
"Arun Jaitley Stadium, Delhi",KN Ananthapadmanabhan,,2021-04-29,,Tapan Sharma,Mumbai Indians,Delhi,6,,24.0,V Narayan Kutty,Rajasthan Royals,,,male,Mumbai Indians,7.0,Mumbai Indians,field,,C Shamshuddin,2021,CB Gaffaney,Indian Premier League,,Q de Kock,1254081
"Narendra Modi Stadium, Ahmedabad",YC Barde,,2021-04-29,,Navdeep Singh,Delhi Capitals,Ahmedabad,6,,25.0,Prakash Bhatt,Kolkata Knight Riders,,,male,Delhi Capitals,7.0,Delhi Capitals,field,,AY Dandekar,2021,AK Chaudhary,Indian Premier League,,PP Shaw,1254082
"Narendra Modi Stadium, Ahmedabad",VK Sharma,34.0,2021-04-30,,YC Barde,Punjab Kings,Ahmedabad,6,,26.0,Shakti Singh,Punjab Kings,,,male,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,,J Madanagopal,2021,S Ravi,Indian Premier League,,Harpreet Brar,1254083
"Arun Jaitley Stadium, Delhi",CK Nandan,,2021-05-01,,K Srinivasan,Mumbai Indians,Delhi,6,,27.0,J Srinath,Chennai Super Kings,,,male,Mumbai Indians,4.0,Mumbai Indians,field,,CB Gaffaney,2021,KN Ananthapadmanabhan,Indian Premier League,,KA Pollard,1254084
"Arun Jaitley Stadium, Delhi",CB Gaffaney,55.0,2021-05-02,,HAS Khalid,Rajasthan Royals,Delhi,6,,28.0,S Chaturvedi,Rajasthan Royals,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,UV Gandhe,2021,C Shamshuddin,Indian Premier League,,JC Buttler,1254085
